formula, good_instruction, is_taut, num_of_nodes, num_of_branches
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5455}{44554444}{3333333333333333}}, False, 47, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5411}{44555555}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5415}{44555511}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5451}{44551155}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5455}{44551111}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5444}{44551111}{3333333333333333}}, False, 61, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5441}{44551144}{3333333333333333}}, False, 47, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5414}{44554411}{3333333333333333}}, False, 61, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5411}{44554444}{3333333333333333}}, False, 47, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5544}{44445555}{3333333333333333}}, False, 55, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5545}{44445544}{3333333333333333}}, False, 55, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5554}{44444455}{3333333333333333}}, False, 47, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{11}{5555}{44444444}{3333333333333333}}, False, 47, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5511}{44445555}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5515}{44445511}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5551}{44441155}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{14}{5555}{44441111}{3333333333333333}}, False, 65, 11
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5544}{44441111}{3333333333333333}}, False, 61, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5541}{44441144}{3333333333333333}}, False, 47, 8
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5514}{44444411}{3333333333333333}}, False, 61, 10
((((p -> q) & r) & s) & p) v (t v ~p), {{2}{15}{5511}{44444444}{3333333333333333}}, False, 47, 8
